[00000000] 1 | 0 6 1 5 2 3 4  *Graceful*
[00000000] 1 | 0 6 1 5 2 4 3  *Graceful*
[00000000] 1 | 0 6 1 5 3 2 4  *Graceful*
[00000000] 1 | 0 6 1 5 4 2 3  *Graceful*
[00000000] 1 | 0 6 1 5 3 4 2  *Graceful*
[00000000] 1 | 0 6 1 5 4 3 2  *Graceful*
[00000000] 1 | 6 0 5 1 4 3 2  *Graceful*
[00000000] 1 | 6 0 5 1 4 2 3  *Graceful*
[00000000] 1 | 6 0 5 1 3 4 2  *Graceful*
[00000000] 1 | 6 0 5 1 2 4 3  *Graceful*
[00000000] 1 | 6 0 5 1 3 2 4  *Graceful*
[00000000] 1 | 6 0 5 1 2 3 4  *Graceful*
[00000000] 1 | 2 4 0 6 1 3 5  *Graceful*
[00000000] 1 | 2 4 0 6 1 5 3  *Graceful*
[00000000] 1 | 2 4 0 6 3 1 5  *Graceful*
[00000000] 1 | 2 4 0 6 5 1 3  *Graceful*
[00000000] 1 | 2 4 0 6 3 5 1  *Graceful*
[00000000] 1 | 2 4 0 6 5 3 1  *Graceful*
[00000000] 1 | 4 2 6 0 5 3 1  *Graceful*
[00000000] 1 | 4 2 6 0 5 1 3  *Graceful*
[00000000] 1 | 4 2 6 0 3 5 1  *Graceful*
[00000000] 1 | 4 2 6 0 1 5 3  *Graceful*
[00000000] 1 | 4 2 6 0 3 1 5  *Graceful*
[00000000] 1 | 4 2 6 0 1 3 5  *Graceful*
[00000000] 1 | 1 2 4 0 6 5 3  *Graceful*
[00000000] 1 | 2 1 3 0 6 5 4  *Graceful*
[00000000] 1 | 1 2 4 0 6 3 5  *Graceful*
[00000000] 1 | 2 1 3 0 6 4 5  *Graceful*
[00000000] 1 | 5 4 2 6 0 1 3  *Graceful*
[00000000] 1 | 4 5 3 6 0 1 2  *Graceful*
[00000000] 1 | 5 4 2 6 0 3 1  *Graceful*
[00000000] 1 | 4 5 3 6 0 2 1  *Graceful*
[00000000] 1 | 1 2 4 0 5 6 3  *Graceful*
[00000000] 1 | 2 1 3 0 5 6 4  *Graceful*
[00000000] 1 | 1 2 4 0 3 6 5  *Graceful*
[00000000] 1 | 2 1 3 0 4 6 5  *Graceful*
[00000000] 1 | 5 4 2 6 1 0 3  *Graceful*
[00000000] 1 | 4 5 3 6 1 0 2  *Graceful*
[00000000] 1 | 5 4 2 6 3 0 1  *Graceful*
[00000000] 1 | 4 5 3 6 2 0 1  *Graceful*
[00000000] 1 | 1 2 4 0 5 3 6  *Graceful*
[00000000] 1 | 2 1 3 0 5 4 6  *Graceful*
[00000000] 1 | 1 2 4 0 3 5 6  *Graceful*
[00000000] 1 | 2 1 3 0 4 5 6  *Graceful*
[00000000] 1 | 5 4 2 6 1 3 0  *Graceful*
[00000000] 1 | 4 5 3 6 1 2 0  *Graceful*
[00000000] 1 | 5 4 2 6 3 1 0  *Graceful*
[00000000] 1 | 4 5 3 6 2 1 0  *Graceful*
